Nome,Livello,Scuola,Classi,Tempo di lancio,Gittata,Componenti,Durata,Descrizione
BEFFA CRUDELE,0,Ammaliamento,bardo,azione,18 metri,V,istantanea,"L'incantatore pronuncia una sequenza di insulti mescolati a impercettibili ammaliamenti contro una creatura entro gittata che è in grado di vedere o di sentire. Il bersaglio deve superare un tiro salvezza su Saggezza, altrimenti subisce ld6 danni psichici e svantaggio al tiro per colpire successivo che effettua prima della fine del suo turno successivo. Trucchetto potenziato. I danni aumentano di ld6 quando l'incantatore raggiunge il 5° livello (2d6), 1'11° livello (3d6) e il 17° livello (4d6). BENEDIZIONE"
BENEDIZIONE,1,Ammaliamento,"chierico, paladino",azione,9 metri,"V, S, M (un simbolo sacro del valore di 5 mo o più)","concentrazione, fino a l minuto","L'incantatore benedice fino a tre creature entro gittata. Se un bersaglio effettua un tiro per colpire o un tiro salvezza prima del termine dell'incantesimo, il bersaglio aggiunge a essi ld4. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può bersagliare una creatura aggiuntiva per ogni slot di livello superiore al 1°. Y47 BLOCCA MOSTRI"
Y47 BLOCCA MOSTRI,5,Ammaliamento,"bardo, mago, stregone, warlock",azione,27 metri,"V, S, M (una sbarra di ferro)","concentrazione, fino a 1 minuto","L'incantatore sceglie una creatura entro gittata che è in grado di vedere. Il bersaglio deve superare un tiro salvezza su Saggezza, altrimenti rimane paralizzato per la durata dell'incantesimo. Alla fine di ogni suo turno, il bersaglio ripete il tiro salvezza e, se lo supera, termina l'incantesimo su di sé. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può bersagliare una creatura aggiuntiva per ogni slot di livello superiore al 5°. BLOCCA PERSONE"
BLOCCA PERSONE,2,Ammaliamento,"bardo, chierico, druido, mago, stregone, warlock",azione,18 metri,"V, S, M (una sbarra di ferro)","concentrazione, fino a 1 minuto","L'incantatore sceglie un umanoide entro gittata che è in grado di vedere. Il bersaglio deve superare un tiro salvezza su Saggezza, altrimenti rimane paralizzato per la durata dell'incantesimo. Alla fine di ogni suo turno, il bersaglio ripete il tiro salvezza e, se lo supera, termina l'incantesimo su di sé. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può bersagliare un umanoide aggiuntivo per ogni slot di livello superiore al 2°. BOCCA MAGICA"
BOCCA MAGICA,2,Illusione,"bardo, mago",1 minuto o rituale,9 metri,"V, S, M (polvere di giada del valore di 10 mo o più, che l'incantesimo consuma)",finché non viene dissolto,"L'incantatore imprime un messaggio all'interno di un oggetto entro gittata, che viene pronunciato quando si verifica una condizione di innesco. L'incantatore sceglie un oggetto che è in grado di vedere e che non è indossato o trasportato da un'altra creatura. Quindi pronuncia il messaggio, che non deve essere più lungo di 25 parole, ma può essere enunciato nell'arco di 10 minuti. Infine, determina la circostanza che innesca l'incantesimo e l'emissione del messaggio. Quando quell'innesco si verifica, sull'oggetto appare una bocca magica che recita il messaggio con il tono e il volume di voce dell'incantatore. Se l'oggetto scelto presenta già una bocca o qualcosa di simile (per esem­ pio, la bocca di una statua), la bocca magica appare in modo che le parole sembrino pronunciate dalla bocca dell'oggetto. Quando lancia questo incantesimo, l'incantatore può fare in modo che esso termini una volta consegnato il messaggio o che rimanga attivo ripetendo il messaggio ogniqualvolta si verifica la circostanza di innesco. L'innesco può essere sia generale che dettagliato, ma deve essere basato su condizioni visibili o udibili che si verificano entro 9 metri dall'oggetto. Per esempio, l'incantatore potrebbe ordinare alla bocca di parlare quando, entro 9 metri dall'oggetto, una qualsiasi creatura si muove, oppure un campana d'argento suona. .--- BRACCIA DI RADAR"
BRACCIA DI RADAR,1,Evocazione,warlock,azione,incantatore,"V, S",istantanea,"Invocando Hadar, dal corpo dell'incantatore erompono dei tentacoli. Ogni creatura in un'emanazione di 3 metri di cui l'incantatore è il punto di origine effettua un tiro salvezza su Forza. Se lo fallisce, il bersaglio subisce 2d6 danni necrotici e non può effettuare reazioni fino all'inizio del proprio turno successivo. Se invece lo supera, subisce soltanto la metà di quei danni. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ld6 per ogni slot di livello supe­ riore al 1°. CADUTA MORBIDA"
CADUTA MORBIDA,1,Trasmutazione,"bardo, mago, stregone","Reazione, che l'incantatore può effettuare quando egli stesso o una creatura entro 18 metri da lui che è in grado di vedere cade",18 metri,"V, M (una piccola piuma)",1 minuto,"L'incantatore sceglie fino a cinque creature in caduta entro gittata. L a  velocità di discesa di una creatura in caduta rallenta fino a 18 metri per round finché l'incante­ simo non termina. Se una creatura cade prima del termine dell'incantesimo, non subisce alcun danno da caduta e interrompe l'effetto dell'incantesimo. CALDERONE RIBOLLENTE DI TASHA"
CALDERONE RIBOLLENTE DI TASHA,6,Evocazione,"mago, warlock",azione,"1, S metri Componente: V, S, M (un mestolo dorato del valore di 500 mo o più)",,10 minuti,"L'incantatore evoca un calderone dotato di piedini curvi, pieno di liquido ribollente. Il calderone appare in uno spazio libero sul terreno entro 1,5 metri dall'incantatore e permane per la durata dell'incantesimo. Il calderone non può essere spostato e scompare al termine dell'incante­ simo, insieme al liquido gorgogliante al suo interno. Il liquido nel calderone è in grado di replicare le proprietà di una pozione comune o non comune a scelta dell'incantatore (per esempio, una pozione di guarigione). Come azione bonus, l'incantatore o un alleato può attingere al calderone e prelevare una pozione del tipo scelto. La pozione è contenuta in una fiala che scompare quando viene la pozione viene consumata. Il calderone può produrre un numero di pozioni pari al modificatore di caratteristica da incantatore dell'incantatore (minimo 1). Quando l'ultima di queste pozioni viene prelevata dal calderone, il calderone scompare e l'incantesimo termina. Le pozioni ricavate dal calderone che non vengono consumate scompaiono quando l'incantatore lancia nuo­ vamente l'incantesimo. CALMARE EMOZIONI"
CALMARE EMOZIONI,2,Ammaliamento,"bardo, chierico",azione,18 metri,"V, S","concentrazione, fino a 1 minuto","Ogni umanoide all'interno di una sfera del raggio di 6 metri centrata su un punto scelto dall'incantatore entro gittata deve effettuare un tiro salvezza su Carisma o essere influenzato da uno dei seguenti effetti (a scelta per ogni creatura): La creatura è immune alle condizioni affascinato e spa­ ventato fino al termine dell'incantesimo. Se la creatura è già affascinata o spaventata, queste condizioni sono soppresse per la durata dell'incantesimo. La creatura diventa indifferente alle creature (a scelta dell'incantatore) verso cui è ostile. Questa indifferenza termina se il bersaglio subisce danni o se vede uno dei suoi alleati subire danni. Al termine dell'incantesimo, l'atteggiamento della creatura torna alla normalità. CAMMINARE NEL VENTO"
CAMMINARE NEL VENTO,6,Trasmutazione,druido,1 minuto,9 metri,"V, S, M (una candela)",8 ore,"L'incantatore e un massimo di dieci creature consenzienti a sua scelta entro gittata assumono una forma gassosa per la durata dell'incantesimo, apparendo come sbuffi di nuvole. Finché il bersaglio ha queste sembianze, ha una velocità di volo di 90 metri e può fluttuare. Inoltre, è immune alla condizione prono e resistente ai danni contundenti, perforanti e taglienti. Le uniche azioni che può effettuare in questa forma sono l'azione Scatto, un'azione di Magia o riassumere la propria forma nor­ male. Quest'ultima opzione richiede 1 minuto, durante il quale il bersaglio è stordito. Fino al termine dell'incan­ tesimo, il bersaglio può assumere nuovamente la forma di nuvola usando un'azione di Magia seguita da 1 minuto di trasformazione. Se una creatura è in forma gassosa e sta volando quando l'effetto termina, scende di 18 metri per round per 1 minuto finché non atterra, senza subire danni. Se tuttavia non riesce ad atterrare in 1 minuto, cade per la distanza rimanente. CAMMINARE SULL'ACQUA"
CAMMINARE SULL'ACQUA,3,Trasmutazione,"chierico, druido, ranger, stregone",azione o rituale,9 metri,"V, S, M (un pezzo di sughero)",1 ora,"Questo incantesimo conferisce la capacità di muoversi su una qualsiasi superficie liquida, come l'acqua, l'acido, il fango, la neve, le sabbie mobili o la lava, come se si trattasse di un innocuo terreno solido (ma le creature che attraversano un tratto di lava fusa possono comunque subire danni dal calore). Fino a dieci creature consenzienti entro gittata a scelta dell'incantatore ottengono questa capacità per la durata dell'incantesimo. Un bersaglio colpito deve usare un'azione bonus per passare dalla superficie del liquido all'interno del liquido stesso e viceversa, ma se il bersaglio cade dentro di esso passa attraverso la superficie nel liquido sottostante. CAMPO ANTI-MAGIA"
CAMPO ANTI-MAGIA,8,Abiurazione,"chierico, mago",azione,incantatore,"V, S, M (limatura di ferro)","concentrazione, fino a 1 ora","Un'aura di anti-magia circonda l'incantatore in un'ema­ nazione di 3 metri. Nessuno può lanciare incantesimi, compiere azioni di Magia o creare altri effetti magici all'interno dell'aura, e tali azioni non possono colpire o influenzare in alcun modo nulla al suo interno. Le pro­ prietà degli oggetti magici non funzionano all'interno dell'aura o su qualsiasi cosa al suo interno. Le aree di effetto create da incantesimi o da altre magie non possono estendersi all'interno dell'aura e nessuno può teletrasportarsi all'interno o all'esterno di essa o utilizzare il viaggio planare. I portali si chiudono temporaneamente quando si trovano all'interno dell'aura. Gli incantesimi già in corso, tranne quelli lanciati da manufatti o divinità, sono soppressi all'interno dell'area. Mentre un effetto è soppresso non funziona, ma il tempo che trascorre in questo stato conta ai fini della sua durata. Dissolvi magie non ha alcun effetto sull'aura e le auree create da più incantesimi campo anti-magia non si annul­ lano a vicenda. CAMUFFARE SE STESSO"
CAMUFFARE SE STESSO,1,Illusione,"bardo, mago, stregone",azione,incantatore,"V, S",l ora,"L'incantatore assume un aspetto diverso (che include i suoi abiti, armatura, armi e altri oggetti personali pre­ senti sulla sua persona) fino al termine dell'incantesimo. Può apparire 30 centimetri più alto o più basso e apparire più grasso o più magro, adottando una forma che usi la stessa disposizione basilare degli arti. Entro questi limiti, la natura dell'illusione dipende da lui. I cambiamenti apportati da questo incantesimo non passano il vaglio di un'ispezione fisica. Per esempio, se l'incantatore usa questo incantesimo per aggiungere un cappello al suo abbigliamento, gli oggetti attraverserebbero il cappello e chiunque lo toccasse non sentirebbe nulla. Per capire che l'incantatore è camuffato, una crea­ tura può usare la sua azione di Studio per ispezionarne l'aspetto, superando una prova di Intelligenza (Indagare) contro la CD del tiro salvezza sull'incantesimo. CAPANNA DI LEOMUND"
CAPANNA DI LEOMUND,3,Invocazione,"bardo, mago",l minuto o rituale,incantatore,"V, S, M (una perla di cristallo)",8 ore,"Un'emanazione di 3 metri si materializza attorno all'incan­ tatore e permane stazionaria per la durata dell'incantesimo. L'incantesimo fallisce quando l'incantatore lo lancia ma l'emanazione non è abbastanza grande da poter inglobare totalmente tutte le creature all'interno della sua area. Le creature e gli oggetti all'interno dell'emanazione al momento del lancio dell'incantesimo possono attra­ versarla liberamente, mentre a tutte le altre creature e oggetti è proibito. Non è possibile lanciare incantesimi di 3° livello o inferiore attraverso l'emanazione, e gli effetti di tali incantesimi non si estendono al suo interno. L'atmosfera all'interno dell'emanazione è gradevole e asciutta, a prescindere dal tempo atmosferico all'esterno. Fino al termine dell'incantesimo, l'incantatore può decidere che all'interno dell'emanazione ci sia luce fioca o oscurità (nessuna azione richiesta). Dall'esterno, l'emanazione appare opaca e di un qualsiasi colore a scelta dell'incanta­ tore, ma dall'interno risulta trasparente. L'incantesimo termina in anticipo se l'incantatore lo lancia di nuovo o se esce dall'area dell'emanazione. CARATTERISTICA POTENZIATA"
CARATTERISTICA POTENZIATA,2,Trasmutazione,"bardo, chierico, druido, mago, ranger, stregone",azione,contatto,"V, S, M (un ciuffo di peli o una piuma)","concentrazione, fino a l ora","L'incantatore tocca una creatura e sceglie Forza, Destrezza, Intelligenza, Saggezza o Carisma. Per la durata dell'incantesimo, il bersaglio dispone di vantaggio sulle prove di caratteristica effettuate utilizzando l'abilità scelta. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può bersagliare una creatura aggiuntiva per ogni slot di livello superiore al 2°. L'incantatore può scegliere una caratteristica differente per ogni bersaglio. CARNE IN PIETRA"
CARNE IN PIETRA,6,Trasmutazione,"druido, mago, stregone",azione,18 metri,"V, S, M (una piuma di coccatrice)","concentrazione, fino a l minuto","L'incantatore tenta di tramutare in pietra una creatura entro gittata che è in grado di vedere. Il bersaglio effettua un tiro salvezza su Costituzione. In caso di fallimento, è trattenuto per la durata dell'incantesimo. In caso di successo, la sua velocità è pari a O fino all'inizio del turno successivo. I costrutti superano automaticamente il tiro salvezza. Un bersaglio trattenuto effettua un altro tiro salvezza su Costituzione al termine di ogni suo turno. L'incante­ simo termina se il bersaglio supera per tre volte il tiro sal­ vezza contro questo incantesimo. Mentre se lo fallisce per tre volte, viene tramutato in pietra e diventa pietrificato per la durata dell'incantesimo. Non è necessario che i tiri superati o falliti siano consecutivi: si tiene semplicemente il conto di entrambi finché il bersaglio non ne accumula tre di un certo tipo. Se l'incantatore mantiene la concentrazione su questo incantesimo per l'intera durata possibile, il bersaglio è pietrificato fino a quando non viene posta fine alla con­ dizione con ristorare superiore o un'altra magia simile. CATENA DI FULMINI"
